Suburb,Year,Population_Size,Housing_Units,Median_Individual_Income,Crime_Number
Cedar Park,1990,8930,0,0,0
Cedar Park,1991,9325,0,0,0
Cedar Park,1992,9864,0,0,0
Cedar Park,1993,10577,0,0,0
Cedar Park,1994,11297,0,0,0
Cedar Park,1995,11952,0,0,0
Cedar Park,1996,14634,0,0,0
Cedar Park,1997,18445,0,0,0
Cedar Park,1998,22174,0,0,0
Cedar Park,1999,27115,0,0,0
Cedar Park,2000,26910,0,0,0
Cedar Park,2001,32087,0,0,0
Cedar Park,2002,37561,0,0,0
Cedar Park,2003,41238,0,0,0
Cedar Park,2004,45001,0,0,0
Cedar Park,2005,47795,0,0,0
Cedar Park,2006,51831,0,0,0
Cedar Park,2007,58014,0,0,0
Cedar Park,2008,62517,0,0,1063
Cedar Park,2009,65999,0,0,1055
Cedar Park,2010,55778,0,0,858
Cedar Park,2011,58849,17421,38780,763
Cedar Park,2012,61521,18453,38797,875
Cedar Park,2013,64843,19741,40114,920
Cedar Park,2014,67223,20628,40034,1047
Cedar Park,2015,69612,21081,40073,1027
Cedar Park,2016,72602,21781,41067,1087
Cedar Park,2017,75606,23753,44851,1134
Cedar Park,2018,76999,24751,46343,1067
Cedar Park,2019,0,25609,45622,735
,,,,,
Lakeway,1990,4229,0,0,0
Lakeway,1991,4422,0,0,0
Lakeway,1992,4609,0,0,0
Lakeway,1993,4831,0,0,0
Lakeway,1994,5076,0,0,0
Lakeway,1995,5358,0,0,0
Lakeway,1996,5536,0,0,0
Lakeway,1997,5622,0,0,0
Lakeway,1998,5733,0,0,0
Lakeway,1999,5865,0,0,0
Lakeway,2000,8138,0,0,0
Lakeway,2001,8341,0,0,0
Lakeway,2002,8358,0,0,0
Lakeway,2003,8370,0,0,0
Lakeway,2004,8580,0,0,0
Lakeway,2005,9051,0,0,0
Lakeway,2006,9772,0,0,0
Lakeway,2007,10490,0,0,0
Lakeway,2008,11133,0,0,174
Lakeway,2009,11503,0,0,194
Lakeway,2010,11749,0,0,216
Lakeway,2011,12120,4975,50820,165
Lakeway,2012,12741,5119,52505,204
Lakeway,2013,13154,5292,47170,182
Lakeway,2014,13680,5516,50493,150
Lakeway,2015,14193,5850,51733,168
Lakeway,2016,14710,6306,50259,221
Lakeway,2017,15214,6314,51270,189
Lakeway,2018,15673,6327,55997,177
Lakeway,2019,0,6642,59415,155
,,,,,
Brushy Creek,2011,22457,7821,46257,2511
Brushy Creek,2012,23976,8024,44539,2614
Brushy Creek,2013,23908,8083,44900,2373
Brushy Creek,2014,22537,7546,43811,2076
Brushy Creek,2015,21254,7389,44910,2055
Brushy Creek,2016,21780,7365,46847,2369
Brushy Creek,2017,20666,6987,46846,2303
Brushy Creek,2018,20024,6754,46190,2079
Brushy Creek,2019,18399,6052,44644,1808
,,,,,
Round Rock,1990,31804,0,0,0
Round Rock,1991,33436,0,0,0
Round Rock,1992,35476,0,0,0
Round Rock,1993,38312,0,0,0
Round Rock,1994,42561,0,0,0
Round Rock,1995,47168,0,0,0
Round Rock,1996,52785,0,0,0
Round Rock,1997,56899,0,0,0
Round Rock,1998,61212,0,0,0
Round Rock,1999,67173,0,0,0
Round Rock,2000,62691,0,0,0
Round Rock,2001,70053,0,0,0
Round Rock,2002,74072,0,0,0
Round Rock,2003,77911,0,0,0
Round Rock,2004,81849,0,0,0
Round Rock,2005,86191,0,0,0
Round Rock,2006,92184,0,0,0
Round Rock,2007,96909,0,0,0
Round Rock,2008,104631,0,0,2826
Round Rock,2009,108162,0,0,2907
Round Rock,2010,100756,0,0,3136
Round Rock,2011,103836,36535,35447,2562
Round Rock,2012,106470,36987,34425,2783
Round Rock,2013,109507,37363,34522,2583
Round Rock,2014,112613,37449,34190,2334
Round Rock,2015,115871,37622,34109,2387
Round Rock,2016,120705,38645,33971,2832
Round Rock,2017,123463,40094,35945,2874
Round Rock,2018,128739,40806,36454,2653
Round Rock,2019,0,42562,37782,2404
,,,,,
Pflugerville,1990,5811,0,0,0
Pflugerville,1991,6017,0,0,0
Pflugerville,1992,6435,0,0,0
Pflugerville,1993,7300,0,0,0
Pflugerville,1994,8132,0,0,0
Pflugerville,1995,8675,0,0,0
Pflugerville,1996,9256,0,0,0
Pflugerville,1997,9766,0,0,0
Pflugerville,1998,10390,0,0,0
Pflugerville,1999,11360,0,0,0
Pflugerville,2000,27789,0,0,0
Pflugerville,2001,31761,0,0,0
Pflugerville,2002,33112,0,0,0
Pflugerville,2003,34603,0,0,0
Pflugerville,2004,35982,0,0,0
Pflugerville,2005,37726,0,0,0
Pflugerville,2006,40134,0,0,0
Pflugerville,2007,43769,0,0,0
Pflugerville,2008,45353,0,0,932
Pflugerville,2009,46636,0,0,953
Pflugerville,2010,48717,0,0,970
Pflugerville,2011,50281,15798,37779,948
Pflugerville,2012,52014,16935,38433,866
Pflugerville,2013,53858,18032,38573,882
Pflugerville,2014,54779,18599,36453,916
Pflugerville,2015,57320,19214,37381,908
Pflugerville,2016,59595,19750,38794,1093
Pflugerville,2017,63371,20384,40732,1072
Pflugerville,2018,64431,20947,41144,973
Pflugerville,2019,0,21911,43539,894
